date,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
2026-02-08 05:00:00+00:00,23.979,17.178999,0.3,7.9932976
2026-02-09 05:00:00+00:00,24.279,16.779,0.0,8.4042845
2026-02-10 05:00:00+00:00,24.178999,15.879001,0.2,7.5942073
2026-02-11 05:00:00+00:00,24.879,16.479,0.6,7.2359104
2026-02-12 05:00:00+00:00,24.629,17.229,12.3,9.511088
2026-02-13 05:00:00+00:00,22.279,17.279,38.499992,6.638072
2026-02-14 05:00:00+00:00,23.428999,16.629,1.1,7.2805495
